name,probability
21.diesel.23,0.00001052238305
31.gas.23,0.004847917496
31.diesel.23,0.0003230068687
42.gas.23,0.000001232426034
42.diesel.23,0.00000717425207
32.gas.23,0.0005780093703
32.diesel.23,0.00003851158707
21.gas.24,0.00281710572
21.diesel.24,0.000009724906967
31.gas.24,0.004614991849
31.diesel.24,0.0003074875072
42.gas.24,0.000000215350778
42.diesel.24,0.000001253609322
32.gas.24,0.0005782328724
32.diesel.24,0.00003852647857
21.gas.25,0.002048479576
21.diesel.25,0.000007071539118
31.gas.25,0.003887039695
31.diesel.25,0.0002589855379
42.gas.25,0.0000003838370603
42.diesel.25,0.000002234409001
32.gas.25,0.0004683918655
32.diesel.25,0.000031207996
21.gas.26,0.001602239632
21.diesel.26,0.000005531077959
31.gas.26,0.002684655567
31.diesel.26,0.0001788731324
42.gas.26,0.00000005279896497
42.diesel.26,0.0000003073556328
32.gas.26,0.0003279975686
32.diesel.26,0.00002185380994
21.gas.27,0.001286065885
21.diesel.27,0.000004439617226
31.gas.27,0.001968136819
31.diesel.27,0.0001311329476
42.gas.27,0.00000007546723348
42.diesel.27,0.0000004393131441
32.gas.27,0.0002572571872
32.diesel.27,0.00001714052241
21.gas.28,0.001061854238
21.diesel.28,0.000003665618087
31.gas.28,0.001655929327
31.diesel.28,0.0001103311983
42.gas.28,0.00000005879206913
42.diesel.28,0.0000003422429517
32.gas.28,0.0002246036856
32.diesel.28,0.0000149648861
21.gas.29,0.000858878357
21.diesel.29,0.000002964926753
31.gas.29,0.001485813655
31.diesel.29,0.00009899673758
42.gas.29,0.00000006773583192
42.diesel.29,0.0000003943067728
32.gas.29,0.0002063048868
32.diesel.29,0.00001374567442
21.gas.30,0.0126112907
21.diesel.30,0.00004353533057
31.gas.30,0.009821608863
31.diesel.30,0.0006543937942
42.gas.30,0.00000007331521285
42.diesel.30,0.000000426785708
32.gas.30,0.002387949327
32.diesel.30,0.0001591042
